Hospital,client_id,Model Type,Training Type,Strategy,Accuracy,Precision,Recall,Sensitivity,Specificity,F1 Score,ROC AUC,PR AUC,TP,TN,FP,FN,sample_count,positive_count,negative_count,hospital_3_note
Hospital 1 (Cleveland),hospital_1,AlexNet,Local,Local,0.9130434782608695,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.92,0.9047619047619048,0.9523809523809523,0.9588902227557692,19,23,2,2,46,21,25,
Hospital 2 (Hungarian),hospital_2,AlexNet,Local,Local,0.7954545454545454,0.7058823529411765,0.75,0.75,0.8214285714285714,0.7272727272727272,0.8705357142857142,0.7444728337215759,12,23,5,4,44,16,28,
Hospital 3 (Switzerland),hospital_3,AlexNet,Local,Local,0.9473684210526315,0.9473684210526315,1.0,1.0,0.0,0.972972972972973,0.05555555555555555,0.8862366857142399,18,0,1,0,19,18,1,"Specificity is based on only 1 negative test sample (18 positive, 1 negative)."
Hospital 1 (Cleveland),hospital_1,AlexNet,Federated,Federated (FedAvg + FedBN),0.8478260869565217,0.7916666666666666,0.9047619047619048,0.9047619047619048,0.8,0.8444444444444444,0.9447619047619047,0.9504574776770613,19,20,5,2,46,21,25,
Hospital 2 (Hungarian),hospital_2,AlexNet,Federated,Federated (FedAvg + FedBN),0.7727272727272727,0.65,0.8125,0.8125,0.75,0.7222222222222223,0.8861607142857142,0.800587848142196,13,21,7,3,44,16,28,
Hospital 3 (Switzerland),hospital_3,AlexNet,Federated,Federated (FedAvg + FedBN),0.10526315789473684,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.1904761904761905,0.05555555555555555,0.8862366857142399,2,0,1,16,19,18,1,"Specificity is based on only 1 negative test sample (18 positive, 1 negative)."
Hospital 1 (Cleveland),hospital_1,ResNet,Local,Local,0.6956521739130435,0.6296296296296297,0.8095238095238095,0.8095238095238095,0.6,0.7083333333333334,0.8247619047619048,0.809130438573006,17,15,10,4,46,21,25,
Hospital 2 (Hungarian),hospital_2,ResNet,Local,Local,0.75,0.7777777777777778,0.4375,0.4375,0.9285714285714286,0.56,0.890625,0.7799509803921569,7,26,2,9,44,16,28,
Hospital 3 (Switzerland),hospital_3,ResNet,Local,Local,0.9473684210526315,0.9473684210526315,1.0,1.0,0.0,0.972972972972973,0.16666666666666666,0.9186440931216474,18,0,1,0,19,18,1,"Specificity is based on only 1 negative test sample (18 positive, 1 negative)."
Hospital 1 (Cleveland),hospital_1,ResNet,Federated,Federated (FedAvg + FedBN),0.782608695652174,0.7037037037037037,0.9047619047619048,0.9047619047619048,0.68,0.7916666666666667,0.9028571428571428,0.8886948563512385,19,17,8,2,46,21,25,
Hospital 2 (Hungarian),hospital_2,ResNet,Federated,Federated (FedAvg + FedBN),0.8181818181818182,0.75,0.75,0.75,0.8571428571428571,0.75,0.8549107142857143,0.7048108157966904,12,24,4,4,44,16,28,
Hospital 3 (Switzerland),hospital_3,ResNet,Federated,Federated (FedAvg + FedBN),0.5263157894736842,0.9090909090909091,0.5555555555555556,0.5555555555555556,0.0,0.6896551724137931,0.2777777777777778,0.9390144634920178,10,0,1,8,19,18,1,"Specificity is based on only 1 negative test sample (18 positive, 1 negative)."
Hospital 1 (Cleveland),hospital_1,XGBoost,Local,Local,0.8478260869565217,0.8181818181818182,0.8571428571428571,0.8571428571428571,0.84,0.8372093023255814,0.9428571428571428,0.9379509264562269,18,21,4,3,46,21,25,
Hospital 2 (Hungarian),hospital_2,XGBoost,Local,Local,0.8181818181818182,0.7,0.875,0.875,0.7857142857142857,0.7777777777777777,0.9129464285714286,0.8477115968744007,14,22,6,2,44,16,28,
Hospital 3 (Switzerland),hospital_3,XGBoost,Local,Local,0.8947368421052632,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.5833333333333334,0.9706743159852034,17,0,1,1,19,18,1,"Specificity is based on only 1 negative test sample (18 positive, 1 negative)."
Hospital 1 (Cleveland),hospital_1,XGBoost,Federated,Sample-Weighted Local Ensemble,0.8478260869565217,0.8181818181818182,0.8571428571428571,0.8571428571428571,0.84,0.8372093023255814,0.9561904761904761,0.9551541136209332,18,21,4,3,46,21,25,
Hospital 2 (Hungarian),hospital_2,XGBoost,Federated,Sample-Weighted Local Ensemble,0.8636363636363636,0.8125,0.8125,0.8125,0.8928571428571429,0.8125,0.9107142857142858,0.8443173074882633,13,25,3,3,44,16,28,
Hospital 3 (Switzerland),hospital_3,XGBoost,Federated,Sample-Weighted Local Ensemble,0.5263157894736842,0.9090909090909091,0.5555555555555556,0.5555555555555556,0.0,0.6896551724137931,0.5,0.9656238109346986,10,0,1,8,19,18,1,"Specificity is based on only 1 negative test sample (18 positive, 1 negative)."
