Model Type,Training Type,Aggregation,Scope,Total Test Samples,Total Positives,Total Negatives,Total TP,Total TN,Total FP,Total FN,Accuracy,Accuracy_valid_hospitals,Precision,Precision_valid_hospitals,Recall,Recall_valid_hospitals,Sensitivity,Sensitivity_valid_hospitals,Specificity,Specificity_valid_hospitals,F1 Score,F1 Score_valid_hospitals,ROC AUC,ROC AUC_valid_hospitals,PR AUC,PR AUC_valid_hospitals
AlexNet,Local,Macro Average (Unweighted),All 3 Medical Centers,109,55,54,49,46,8,6,0.8852888149226822,3/3,0.8526708929185709,3/3,0.8849206349206349,3/3,0.8849206349206349,3/3,0.5804761904761905,3/3,0.8683358683358683,3/3,0.6261574074074073,3/3,0.8631999140638617,3/3
AlexNet,Local,Sample-Weighted Average,All Medical Centers (N=109),109,55,54,49,46,8,6,0.8715596330275229,3/3,0.8319070747565082,3/3,0.8588903451288774,3/3,0.8588903451288774,3/3,0.7198427260812582,3/3,0.8450049000507716,3/3,0.7630151448958787,3/3,0.8596720363218833,3/3
AlexNet,Federated,Macro Average (Unweighted),All 3 Medical Centers,109,55,54,34,41,13,21,0.575272172526177,3/3,0.7027777777777778,3/3,0.609457671957672,3/3,0.609457671957672,3/3,0.5166666666666667,3/3,0.5857142857142857,3/3,0.6288260582010582,3/3,0.8790940038444991,3/3
AlexNet,Federated,Sample-Weighted Average,All Medical Centers (N=109),109,55,54,34,41,13,21,0.6880733944954128,3/3,0.712691131498471,3/3,0.7291757681665939,3/3,0.7291757681665939,3/3,0.6403669724770642,3/3,0.6811125673510996,3/3,0.7661071064511431,3/3,0.8787651955960734,3/3
ResNet,Local,Macro Average (Unweighted),All 3 Medical Centers,109,55,54,42,41,13,13,0.7976735316552249,3/3,0.7849252761533463,3/3,0.7490079365079364,3/3,0.7490079365079364,3/3,0.5095238095238095,3/3,0.7471021021021022,3/3,0.6273511904761905,3/3,0.8359085040289368,3/3
ResNet,Local,Sample-Weighted Average,All Medical Centers (N=109),109,55,54,42,41,13,13,0.7614678899082569,3/3,0.744818212708121,3/3,0.6925513324595893,3/3,0.6925513324595893,3/3,0.6280471821756226,3/3,0.6945855029341268,3/3,0.7366349934469201,3/3,0.8164411108341696,3/3
ResNet,Federated,Macro Average (Unweighted),All 3 Medical Centers,109,55,54,41,41,13,14,0.7090354344358921,3/3,0.7875982042648709,3/3,0.7367724867724869,3/3,0.7367724867724869,3/3,0.5123809523809524,3/3,0.7437739463601533,3/3,0.6785152116402116,3/3,0.8441733785466489,3/3
ResNet,Federated,Sample-Weighted Average,All Medical Centers (N=109),109,55,54,41,41,13,14,0.7522935779816514,3/3,0.758193556358694,3/3,0.7814183777486531,3/3,0.7814183777486531,3/3,0.6329750982961992,3/3,0.7570652747020986,3/3,0.7745438328236495,3/3,0.8232377439776117,3/3
XGBoost,Local,Macro Average (Unweighted),All 3 Medical Centers,109,55,54,49,43,11,6,0.8535815824145344,3/3,0.8208754208754208,3/3,0.8921957671957671,3/3,0.8921957671957671,3/3,0.5419047619047619,3/3,0.8531438415159345,3/3,0.813045634920635,3/3,0.9187789464386104,3/3
XGBoost,Local,Sample-Weighted Average,All Medical Centers (N=109),109,55,54,49,43,11,6,0.8440366972477065,3/3,0.7924844778055788,3/3,0.8795689529634483,3/3,0.8795689529634483,3/3,0.6716644823066842,3/3,0.831910959391224,3/3,0.8681138051550896,3/3,0.9072281181943022,3/3
XGBoost,Federated,Macro Average (Unweighted),All 3 Medical Centers,109,55,54,41,46,8,14,0.7459260800221897,3/3,0.8465909090909092,3/3,0.7417328042328043,3/3,0.7417328042328043,3/3,0.5776190476190476,3/3,0.7797881582464582,3/3,0.788968253968254,3/3,0.9216984106812983,3/3
XGBoost,Federated,Sample-Weighted Average,All Medical Centers (N=109),109,55,54,41,46,8,14,0.7981651376146789,3/3,0.8317347789824855,3/3,0.786551623707587,3/3,0.786551623707587,3/3,0.7149148099606815,3/3,0.8015144603930168,3/3,0.8583136740934907,3/3,0.9122376437046402,3/3
